Year,Rent_Index,Rent_Index_2015,Rent_Change
2015,82.5763645,100.0,0.0
2016,85.3225555,103.32563805227828,3.325638052278279
2017,87.40449425000001,105.84686644808639,5.846866448086388
2018,88.22077866666666,106.83538709998146,6.83538709998146
2019,89.87899683333335,108.84348975345523,8.84348975345523
2020,91.47011333333334,110.7703322702386,10.770332270238598
2021,92.74577325,112.31515677830551,12.315156778305507
2022,96.72261266666668,117.13111039983684,17.131110399836842
2023,103.87661974999999,125.79461493488249,25.79461493488249
2024,112.92643641666666,136.75394539398334,36.753945393983344
2025,120.03306400000001,145.3600733415674,45.360073341567386
